date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:54	33122/33122	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:54%20GMT	https://arvindproteins.com/	D:/download_websites/Minalagreeexport/arvindproteins.com/index.html	(from )
14:08:54	135/135	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Jul%202021%2003:36:04%20GMT	https://arvindproteins.com/robots.txt		(from )
14:08:55	2273/2273	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:13%20GMT	https://arvindproteins.com/images/logo.png	D:/download_websites/Minalagreeexport/arvindproteins.com/images/logo.png	(from https://arvindproteins.com/)
14:08:55	82577/82577	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:42:59%20GMT	https://arvindproteins.com/images/logo.png	D:/download_websites/Minalagreeexport/arvindproteins.com/images/logo.png	(from https://arvindproteins.com/)
14:08:55	56656/56656	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2005:15:06%20GMT	https://arvindproteins.com/css/all.min.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/all.min.css	(from https://arvindproteins.com/)
14:08:55	3184/3184	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2005:15:06%20GMT	https://arvindproteins.com/css/owl.carousel.min.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/owl.carousel.min.css	(from https://arvindproteins.com/)
14:08:56	154881/154881	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2005:15:06%20GMT	https://arvindproteins.com/css/bootstrap.min.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/bootstrap.min.css	(from https://arvindproteins.com/)
14:08:56	57936/57936	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2005:15:06%20GMT	https://arvindproteins.com/css/animate.min.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/animate.min.css	(from https://arvindproteins.com/)
14:08:56	12795/12795	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2005:15:06%20GMT	https://arvindproteins.com/css/jquery.fancybox.min.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/jquery.fancybox.min.css	(from https://arvindproteins.com/)
14:08:56	40598/40598	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202022%2013:49:58%20GMT	https://arvindproteins.com/css/style.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/style.css	(from https://arvindproteins.com/)
14:08:56	40277/40277	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2001:57:15%20GMT	https://arvindproteins.com/css/responsive.css	D:/download_websites/Minalagreeexport/arvindproteins.com/css/responsive.css	(from https://arvindproteins.com/)
14:08:57	79319/79319	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Feb%202025%2008:38:57%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	D:/download_websites/Minalagreeexport/translate.google.com/translate_a/elementa0d8.js	(from https://arvindproteins.com/)
14:08:57	24030/24030	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:57%20GMT	https://arvindproteins.com/products	D:/download_websites/Minalagreeexport/arvindproteins.com/products.html	(from https://arvindproteins.com/)
14:08:57	18027/18027	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:57%20GMT	https://arvindproteins.com/product-detail/raw-peanuts	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/raw-peanuts.html	(from https://arvindproteins.com/)
14:08:57	54916/54916	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:46%20GMT	https://arvindproteins.com/upload/producttype/bold-1625284919.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/bold-1625284919.png	(from https://arvindproteins.com/)
14:08:58	17915/17915	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:58%20GMT	https://arvindproteins.com/product-detail/blanched-peanuts	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/blanched-peanuts.html	(from https://arvindproteins.com/)
14:08:58	50160/50160	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:46%20GMT	https://arvindproteins.com/upload/producttype/blanched-peanuts-1625284940.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/blanched-peanuts-1625284940.png	(from https://arvindproteins.com/)
